country,0
Afghanistan,2.0047169811320754e-06
Albania,2.5925925925925925e-05
Algeria,1.5170940170940171e-06
Angola,1.5803814713896457e-06
Argentina,1.3822894168466522e-06
Armenia,1.2e-05
Austria,8.152173913043478e-06
Azerbaijan,7.941176470588235e-06
Bahamas,2.25e-05
Bahrain,2.6875e-05
Bangladesh,4.265129682997118e-07
Barbados,8.333333333333333e-05
Belarus,4.239130434782608e-06
Belgium,6.525423728813559e-06
Belize,1.8e-05
Benin,5.109489051094891e-07
Bhutan,5.5e-05
Bolivia,2.213114754098361e-06
Bosnia Herzegovina,1.2647058823529412e-05
Botswana,1.111111111111111e-06
Brazil,5.049019607843137e-07
Bulgaria,1.03125e-05
Burkina Faso,1.1353711790393014e-06
Burundi,1.2121212121212122e-06
Cambodia,2.176470588235294e-06
Cameroon,1.6370106761565837e-06
Cape Verde,1.5e-05
Central African Republic,2.4193548387096776e-06
Chad,1.1475409836065575e-06
Chile,2.95e-06
China,1.1337065117267768e-08
Colombia,1.4942528735632183e-06
Comoros,2.5555555555555554e-05
Congo,5.0819672131147545e-06
Costa Rica,1.169811320754717e-05
Croatia,1.7105263157894737e-05
Cuba,4.5454545454545455e-06
Cyprus,1.2307692307692308e-05
Czechia,5.5045871559633025e-06
Djibouti,1.3636363636363637e-05
Dominican Republic,3.3628318584070798e-06
Ecuador,1.929824561403509e-06
Egypt,3.041825095057034e-07
El Salvador,4.375e-06
Equatorial Guinea,1.176470588235294e-06
Eritrea,4.054054054054054e-06
Estonia,1.0714285714285714e-05
Ethiopia,3.4782608695652175e-07
Finland,7.321428571428571e-06
France,1.8057663125948404e-06
Gabon,2.0833333333333334e-06
Gambia,6.428571428571429e-06
Germany,1.2131919905771497e-06
Ghana,1.1730205278592376e-07
Greece,4.905660377358491e-06
Grenada,2e-05
Guatemala,1.5469613259668508e-06
Guinea,2.464788732394366e-06
Guyana,2.125e-05
Haiti,2.931034482758621e-06
Honduras,1.7525773195876288e-06
Hungary,8.958333333333334e-06
India,1.0569788604227915e-07
Indonesia,4.05453893074991e-07
Iran,7.73542600896861e-07
Iraq,2.043956043956044e-06
Israel,2.0408163265306121e-07
Italy,2.5170068027210886e-06
Japan,9.397590361445783e-07
Jordan,3.157894736842105e-06
Kazakhstan,1.8090452261306533e-06
Kenya,2.268602540834846e-06
Kosovo,1.5294117647058822e-05
Kuwait,3.863636363636364e-06
Kyrgyzstan,2.7941176470588237e-06
Laos,6.666666666666667e-07
Latvia,3.6842105263157896e-06
Lebanon,9.444444444444445e-06
Lesotho,2.1739130434782607e-06
Liberia,4.6296296296296296e-06
Libya,4.492753623188406e-06
Lithuania,2e-05
Luxembourg,3.857142857142857e-05
Madagascar,1.1513157894736842e-06
Malawi,8.080808080808081e-07
Malaysia,2.035928143712575e-06
Maldives,5.5e-05
Mali,1.2446351931330473e-06
Malta,1.6666666666666667e-06
Marshall Islands,0.00013
Mauritania,6.122448979591837e-06
Moldova,2e-05
Monaco,0.0
Mongolia,2.5714285714285716e-06
Montenegro,6e-05
Morocco,1.7297297297297298e-06
Mozambique,3.5398230088495575e-07
Myanmar,1.3537906137184116e-06
Namibia,6.923076923076923e-06
Nepal,1.8122977346278317e-06
Nicaragua,2.352941176470588e-06
Niger,6.25e-07
Nigeria,1.0991957104557642e-06
North Macedonia,1.5e-05
Norway,1.8181818181818183e-07
Oman,4.2e-06
Pakistan,3.908523908523909e-07
Palestinian Territory,1.109090909090909e-05
Panama,6.222222222222222e-06
Papua New Guinea,1.0526315789473683e-06
Paraguay,3.5483870967741936e-06
Peru,2.1893491124260353e-06
Poland,4.217506631299734e-06
Portugal,7.142857142857143e-06
Qatar,1.8518518518518519e-06
Russia,8.10074880871341e-07
Rwanda,1.1347517730496454e-06
Samoa,4e-05
Saudi Arabia,1.3550135501355013e-07
Senegal,1.6939890710382514e-06
Serbia,1.196969696969697e-05
Seychelles,6e-05
Sierra Leone,2.4719101123595505e-06
Singapore,6.896551724137931e-07
Slovakia,6.111111111111111e-06
Slovenia,1.8095238095238094e-05
Solomon Islands,1.5e-05
Somalia,5.69060773480663e-06
South Africa,1.598023064250412e-06
South Sudan,6.3063063063063065e-06
Spain,2.8364389233954453e-06
Sri Lanka,2.819383259911894e-06
St. Lucia,1.5e-05
Sudan,9.563409563409564e-07
Sweden,6.5714285714285714e-06
Switzerland,9.886363636363637e-06
Syria,1.5948275862068966e-06
Taiwan,4.2735042735042736e-07
Tajikistan,1.3725490196078432e-06
Tanzania,4.747774480712166e-07
Thailand,6.515151515151515e-07
Timor Leste,1.0714285714285714e-05
Togo,6.593406593406594e-07
Tonga,0.0001
Tunisia,4.8739495798319325e-06
Turkey,6.191588785046729e-07
Turkmenistan,1.6901408450704225e-06
Tuvalu,0.0
Uganda,1.3374485596707819e-06
Ukraine,2.152588555858311e-06
United Arab Emirates,2.2105263157894738e-06
Uruguay,1e-05
Uzbekistan,6.868131868131868e-07
Vanuatu,1.3333333333333333e-05
Venezuela,1.9444444444444444e-06
Vietnam,3.640040444893832e-07
Yemen,9.302325581395349e-07
Zambia,1.4851485148514852e-07
Zimbabwe,4.131736526946108e-06
